id,project,label,state,created_at,closed_on
702,account-management-frontend,1 Private Beta,opened,2017-12-14,
698,maintain-frontend,1 Private Beta,opened,2017-12-06,
664,maintain-frontend,1 Private Beta,closed,2017-11-28,2017-12-20
662,maintain-frontend,1 Private Beta,closed,2017-11-24,2017-12-01
657,maintain-frontend,1 Private Beta,closed,2017-11-17,2017-11-20
650,maintain-frontend,1 Private Beta,closed,2017-11-14,2018-01-05
648,llc1-document-api,1 Private Beta,closed,2017-11-13,2017-11-27
643,bulk-load,1 Private Beta,closed,2017-11-07,2017-12-06
639,account-management-frontend,1 Private Beta,closed,2017-11-06,2017-11-29
694,login-frontend,1 Private Beta,closed,2017-11-06,2017-11-30
637,maintain-frontend,1 Private Beta,closed,2017-11-06,2017-11-15
621,maintain-frontend,1 Private Beta,closed,2017-10-25,2017-11-20
618,maintain-frontend,1 Private Beta,closed,2017-10-24,2017-11-21
586,openresty-docker,1 Private Beta,closed,2017-09-29,2017-10-12
584,maintain-frontend,1 Private Beta,closed,2017-09-29,2017-10-03
583,maintain-frontend,1 Private Beta,closed,2017-09-29,2017-11-08
582,maintain-frontend,1 Private Beta,closed,2017-09-28,2017-10-05
594,account-management-frontend,1 Private Beta,closed,2017-09-28,2017-11-17
578,maintain-frontend,1 Private Beta,closed,2017-09-26,2017-10-11
576,maintain-frontend,1 Private Beta,closed,2017-09-26,2017-09-29
574,maintain-frontend,1 Private Beta,closed,2017-09-25,2017-11-02
573,maintain-frontend,1 Private Beta,closed,2017-09-25,2017-11-08
570,maintain-frontend,1 Private Beta,closed,2017-09-25,2017-11-08
562,maintain-frontend,1 Private Beta,closed,2017-09-20,2017-10-24
561,maintain-frontend,1 Private Beta,closed,2017-09-20,2017-10-18
552,notification-api,1 Private Beta,closed,2017-09-12,2017-10-30
540,maintain-frontend,1 Private Beta,closed,2017-09-06,2017-11-30
537,openresty-static-content,1 Private Beta,closed,2017-08-30,2017-09-07
523,maintain-frontend,1 Private Beta,closed,2017-08-30,2017-09-08
520,account-management-frontend,1 Private Beta,opened,2017-08-29,
518,openresty-static-content,1 Private Beta,closed,2017-08-28,2017-11-07
511,search-api,1 Private Beta,closed,2017-08-25,2017-09-29
510,mint-api,1 Private Beta,closed,2017-08-25,2017-09-27
509,llc-session-api,1 Private Beta,closed,2017-08-25,2017-09-29
499,maintain-frontend,1 Private Beta,closed,2017-08-16,2017-11-07
495,maintain-api,1 Private Beta,closed,2017-08-16,2017-11-07
494,maintain-frontend,1 Private Beta,closed,2017-08-15,2017-11-07
487,acceptance-tests,1 Private Beta,closed,2017-08-14,2017-08-25
486,search-api,1 Private Beta,closed,2017-08-14,2017-09-19
476,register,1 Private Beta,closed,2017-08-11,2017-09-21
463,validation-api,1 Private Beta,closed,2017-08-07,2017-12-06
459,search-api,1 Private Beta,closed,2017-08-03,2017-08-24
458,qa-schema,1 Private Beta,closed,2017-08-03,2017-08-25
457,local-authority-api,1 Private Beta,closed,2017-08-03,2017-08-25
455,maintain-frontend,1 Private Beta,closed,2017-07-31,2017-11-07
453,maintain-frontend,1 Private Beta,closed,2017-07-31,2017-08-09
436,account-management-frontend,1 Private Beta,closed,2017-07-20,2017-08-14
431,maintain-frontend,1 Private Beta,closed,2017-07-18,2017-10-05
418,maintain-feeder,1 Private Beta,closed,2017-07-11,2017-08-22
402,account-api,1 Private Beta,closed,2017-06-29,2017-08-14
400,account-management-frontend,1 Private Beta,closed,2017-06-29,2017-11-17
393,maintain-frontend,1 Private Beta,closed,2017-06-26,2017-11-07
386,acceptance-tests,1 Private Beta,closed,2017-06-21,2017-06-23
375,bulk-load,1 Private Beta,closed,2017-06-13,2017-08-08
374,account-management-frontend,1 Private Beta,closed,2017-06-13,2017-06-30
373,maintain-frontend,1 Private Beta,closed,2017-06-13,2017-08-07
360,maintain-frontend,1 Private Beta,closed,2017-06-07,2017-07-04
338,opendj-docker,1 Private Beta,closed,2017-05-19,2017-11-10
321,maintain-frontend,1 Private Beta,closed,2017-05-15,2017-10-31
276,validation-api,1 Private Beta,closed,2017-05-08,2017-08-08
274,acceptance-tests,1 Private Beta,closed,2017-05-08,2017-06-01
257,maintain-frontend,1 Private Beta,closed,2017-04-28,2017-08-14
233,maintain-frontend,1 Private Beta,closed,2017-04-18,2017-04-24
229,maintain-frontend,1 Private Beta,closed,2017-04-18,2017-04-24
222,maintain-frontend,1 Private Beta,closed,2017-04-12,2017-08-07
221,maintain-frontend,1 Private Beta,closed,2017-04-12,2017-04-24
200,maintain-frontend,1 Private Beta,closed,2017-04-05,2017-04-21
197,maintain-api,1 Private Beta,closed,2017-04-03,2017-08-08
195,login-frontend,1 Private Beta,closed,2017-03-30,2017-04-25
193,acceptance-tests,1 Private Beta,closed,2017-03-29,2017-03-31
170,acceptance-tests,1 Private Beta,closed,2017-03-21,2017-08-08
166,account-management-frontend,1 Private Beta,closed,2017-03-17,2017-08-08
161,validation-api,1 Private Beta,closed,2017-03-16,2017-08-08
155,acceptance-tests,1 Private Beta,closed,2017-03-14,2017-05-23
709,maintain-frontend,2 Public Beta,closed,2017-12-15,2017-12-20
708,maintain-frontend,2 Public Beta,closed,2017-12-15,2017-12-20
707,account-management-frontend,2 Public Beta,closed,2017-12-15,2017-12-20
706,login-frontend,2 Public Beta,closed,2017-12-15,2017-12-20
703,login-frontend,2 Public Beta,opened,2017-12-15,
701,maintain-frontend,2 Public Beta,opened,2017-12-12,
697,maintain-frontend,2 Public Beta,opened,2017-12-01,
666,maintain-frontend,2 Public Beta,opened,2017-11-29,
665,maintain-frontend,2 Public Beta,opened,2017-11-29,
660,maintain-frontend,2 Public Beta,opened,2017-11-20,
658,maintain-frontend,2 Public Beta,opened,2017-11-17,
654,login-frontend,2 Public Beta,closed,2017-11-15,2017-12-19
644,qa-feeder,2 Public Beta,opened,2017-11-07,
642,maintain-feeder,2 Public Beta,opened,2017-11-07,
641,maintain-frontend,2 Public Beta,closed,2017-11-07,2017-11-14
640,login-frontend,2 Public Beta,closed,2017-11-06,2017-11-22
638,maintain-frontend,2 Public Beta,opened,2017-11-06,
636,authentication-api,2 Public Beta,opened,2017-11-06,
635,account-api,2 Public Beta,opened,2017-11-06,
631,maintain-frontend,2 Public Beta,opened,2017-11-02,
630,maintain-frontend,2 Public Beta,opened,2017-11-02,
629,maintain-frontend,2 Public Beta,opened,2017-11-02,
625,maintain-frontend,2 Public Beta,opened,2017-10-26,
617,maintain-frontend,2 Public Beta,opened,2017-10-24,
615,maintain-frontend,2 Public Beta,opened,2017-10-20,
614,maintain-frontend,2 Public Beta,opened,2017-10-20,
595,pdf-generation-api,2 Public Beta,closed,2017-10-06,2017-12-19
591,account-management-frontend,2 Public Beta,closed,2017-10-04,2017-11-27
590,account-management-frontend,2 Public Beta,closed,2017-10-04,2017-11-27
589,account-management-frontend,2 Public Beta,closed,2017-10-04,2017-11-27
588,account-management-frontend,2 Public Beta,closed,2017-10-04,2017-11-27
587,account-management-frontend,2 Public Beta,closed,2017-10-04,2017-11-27
585,maintain-frontend,2 Public Beta,opened,2017-09-29,
580,account-management-frontend,2 Public Beta,closed,2017-09-27,2017-11-20
572,maintain-frontend,2 Public Beta,closed,2017-09-25,2017-11-20
557,llc1-document-api,2 Public Beta,opened,2017-09-19,
543,maintain-frontend,2 Public Beta,closed,2017-09-07,2017-11-20
528,account-management-frontend,2 Public Beta,closed,2017-09-01,2017-11-30
526,maintain-frontend,2 Public Beta,closed,2017-09-01,2017-09-08
569,account-management-frontend,2 Public Beta,closed,2017-08-28,2017-11-20
516,maintain-frontend,2 Public Beta,opened,2017-08-28,
491,maintain-frontend,2 Public Beta,opened,2017-08-15,
474,llc1-document-api,2 Public Beta,opened,2017-08-10,
471,notification-api,2 Public Beta,opened,2017-08-10,
466,account-management-frontend,2 Public Beta,closed,2017-08-08,2017-10-16
465,login-frontend,2 Public Beta,closed,2017-08-08,2017-10-16
448,maintain-frontend,2 Public Beta,closed,2017-07-26,2017-09-22
445,maintain-frontend,2 Public Beta,opened,2017-07-25,
444,account-management-frontend,2 Public Beta,opened,2017-07-25,
651,account-management-frontend,2 Public Beta,opened,2017-07-24,
434,maintain-frontend,2 Public Beta,opened,2017-07-19,
406,account-management-frontend,2 Public Beta,closed,2017-07-04,2017-09-25
397,search-api,2 Public Beta,closed,2017-06-28,2017-08-09
392,maintain-frontend,2 Public Beta,closed,2017-06-26,2017-08-09
388,pdf-generation-api,2 Public Beta,opened,2017-06-22,
385,maintain-frontend,2 Public Beta,closed,2017-06-21,2017-12-19
364,maintain-frontend,2 Public Beta,closed,2017-06-12,2017-07-13
363,maintain-frontend,2 Public Beta,closed,2017-06-12,2017-07-04
354,maintain-frontend,2 Public Beta,closed,2017-06-01,2017-06-01
341,maintain-api,2 Public Beta,closed,2017-05-22,2017-06-27
336,account-api,2 Public Beta,closed,2017-05-19,2017-11-06
334,acceptance-tests,2 Public Beta,closed,2017-05-17,2017-06-22
319,account-management-frontend,2 Public Beta,closed,2017-05-12,2017-07-28
313,maintain-frontend,2 Public Beta,closed,2017-05-11,2017-08-08
312,acceptance-tests,2 Public Beta,closed,2017-05-11,2017-05-11
283,account-management-frontend,2 Public Beta,closed,2017-05-08,2017-05-10
265,account-management-frontend,2 Public Beta,closed,2017-05-04,2017-05-15
264,maintain-frontend,2 Public Beta,closed,2017-05-04,2017-08-07
261,account-management-frontend,2 Public Beta,closed,2017-05-01,2017-06-05
258,acceptance-tests,2 Public Beta,closed,2017-04-28,2017-09-29
254,account-management-frontend,2 Public Beta,closed,2017-04-27,2017-05-01
253,llc-session-api,2 Public Beta,opened,2017-04-27,
248,acceptance-tests,2 Public Beta,closed,2017-04-24,2017-07-11
239,maintain-frontend,2 Public Beta,closed,2017-04-19,2017-05-02
238,account-management-frontend,2 Public Beta,closed,2017-04-19,2017-04-27
237,account-management-frontend,2 Public Beta,closed,2017-04-19,2017-05-04
236,account-management-frontend,2 Public Beta,closed,2017-04-18,2017-09-01
235,account-management-frontend,2 Public Beta,closed,2017-04-18,2017-05-04
234,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-06-27
232,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-05-01
230,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-05-03
228,maintain-frontend,2 Public Beta,opened,2017-04-18,
227,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-04-21
226,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-04-21
225,maintain-frontend,2 Public Beta,closed,2017-04-18,2017-06-30
224,account-management-frontend,2 Public Beta,closed,2017-04-18,2017-05-04
215,login-frontend,2 Public Beta,opened,2017-04-10,
212,acceptance-tests,2 Public Beta,closed,2017-04-07,2017-05-02
240,maintain-frontend,2 Public Beta,closed,2017-04-07,2017-05-11
211,acceptance-tests,2 Public Beta,closed,2017-04-07,2017-05-11
242,maintain-frontend,2 Public Beta,closed,2017-04-07,2017-05-11
241,login-frontend,2 Public Beta,closed,2017-04-07,2017-04-21
209,acceptance-tests,2 Public Beta,closed,2017-04-07,2017-04-21
205,search-api,2 Public Beta,closed,2017-04-06,2017-04-07
190,maintain-frontend,2 Public Beta,closed,2017-03-29,2017-06-27
180,maintain-frontend,2 Public Beta,closed,2017-03-27,2017-05-01
259,account-management-frontend,2 Public Beta,closed,2017-03-27,2017-05-04
176,maintain-frontend,2 Public Beta,closed,2017-03-23,2017-08-08
175,acceptance-tests,2 Public Beta,closed,2017-03-23,2017-03-31
164,maintain-frontend,2 Public Beta,closed,2017-03-17,2017-03-28
148,maintain-frontend,2 Public Beta,closed,2017-03-13,2017-03-29
147,maintain-frontend,2 Public Beta,closed,2017-03-13,2017-03-29
146,maintain-frontend,2 Public Beta,closed,2017-03-13,2017-05-10
143,maintain-frontend,2 Public Beta,closed,2017-03-13,2017-03-29
142,maintain-frontend,2 Public Beta,closed,2017-03-13,2017-03-29
139,maintain-frontend,2 Public Beta,closed,2017-03-10,2017-03-29
136,maintain-frontend,2 Public Beta,closed,2017-03-08,2017-06-27
115,maintain-frontend,2 Public Beta,closed,2017-02-21,2017-03-24
113,maintain-frontend,2 Public Beta,closed,2017-02-13,2017-04-05
107,maintain-frontend,2 Public Beta,closed,2017-02-09,2017-03-28
700,maintain-frontend,3 Low,opened,2017-12-08,
696,maintain-frontend,3 Low,opened,2017-11-30,
596,maintain-frontend,3 Low,opened,2017-10-06,
593,account-api,3 Low,opened,2017-10-05,
579,maintain-frontend,3 Low,opened,2017-09-26,
551,account-management-frontend,3 Low,closed,2017-09-12,2017-11-20
544,account-management-frontend,3 Low,opened,2017-09-08,
530,account-management-frontend,3 Low,opened,2017-09-01,
527,login-frontend,3 Low,opened,2017-09-01,
524,maintain-frontend,3 Low,opened,2017-08-31,
498,maintain-frontend,3 Low,closed,2017-08-16,2017-08-18
482,maintain-frontend,3 Low,closed,2017-08-14,2017-09-18
477,account-management-frontend,3 Low,closed,2017-08-11,2017-09-21
454,maintain-frontend,3 Low,opened,2017-07-31,
450,maintain-frontend,3 Low,closed,2017-07-27,2017-11-20
446,local-authority-api,3 Low,closed,2017-07-26,2017-08-07
429,pdf-generation-api,3 Low,opened,2017-07-14,
