event,date,project_id
opened,2017-02-08,368
closed,2017-02-10,368
opened,2017-02-09,375
closed,2017-03-28,375
opened,2017-02-09,375
closed,2017-02-21,375
opened,2017-02-09,363
closed,2017-02-23,363
opened,2017-02-13,375
closed,2017-03-17,375
opened,2017-02-13,375
closed,2017-04-05,375
opened,2017-02-21,375
opened,2017-02-21,375
closed,2017-03-24,375
opened,2017-02-21,375
closed,2017-02-23,375
opened,2017-02-27,408
closed,2017-03-17,408
opened,2017-02-27,375
closed,2017-02-28,375
opened,2017-02-27,363
closed,2017-02-28,363
opened,2017-02-27,375
closed,2017-04-05,375
opened,2017-02-27,408
closed,2017-03-03,408
opened,2017-02-27,408
closed,2017-03-03,408
opened,2017-02-27,363
closed,2017-03-08,363
opened,2017-03-03,368
closed,2017-03-07,368
opened,2017-03-03,368
closed,2017-05-23,368
opened,2017-03-07,363
closed,2017-03-09,363
opened,2017-03-07,363
closed,2017-03-09,363
opened,2017-03-08,375
closed,2017-06-27,375
opened,2017-03-09,375
closed,2017-03-14,375
opened,2017-03-10,375
closed,2017-03-29,375
opened,2017-03-13,495
closed,2017-03-16,495
opened,2017-03-13,375
closed,2017-03-29,375
opened,2017-03-13,375
closed,2017-03-29,375
opened,2017-03-13,363
closed,2017-03-13,363
opened,2017-03-13,375
closed,2017-03-14,375
opened,2017-03-13,375
closed,2017-05-10,375
opened,2017-03-13,375
closed,2017-03-29,375
opened,2017-03-13,375
closed,2017-03-29,375
opened,2017-03-13,362
opened,2017-03-14,380
closed,2017-03-30,380
opened,2017-03-14,380
closed,2017-04-07,380
opened,2017-03-14,375
closed,2017-03-17,375
opened,2017-03-14,375
closed,2017-03-17,375
opened,2017-03-14,380
closed,2017-03-28,380
opened,2017-03-14,380
closed,2017-05-23,380
opened,2017-03-16,375
closed,2017-10-23,375
opened,2017-03-16,495
closed,2017-08-08,495
opened,2017-03-17,380
closed,2017-03-28,380
opened,2017-03-17,375
closed,2017-06-27,375
opened,2017-03-17,375
closed,2017-03-28,375
opened,2017-03-17,375
closed,2017-10-03,375
opened,2017-03-17,408
closed,2017-08-08,408
opened,2017-03-17,380
closed,2017-04-07,380
opened,2017-03-21,380
closed,2017-08-08,380
opened,2017-03-22,380
closed,2017-04-05,380
opened,2017-03-22,375
closed,2017-03-24,375
opened,2017-03-22,375
